Node Type,Actual Total Time (avg),Actual Rows (avg),Actual Loops (avg),count
SetOp,3920.5410000000006,14940.285714285714,1,7
Group,403.5492857142857,157764,1.7142857142857143,7
Result,3841.699666666667,17476.666666666667,1,3
Hash Join,795.570003322259,142017.624584717608,2.7176079734219269,301
CTE Scan,44039.53755102042,157831.867346938776,3133.1428571428571429,98
Hash,166.2708970099666,8682.7109634551495017,2.7176079734219269,301
Unique,1298.1244000000002,57171.5,1,10
Limit,250387.72658333337,57.2142857142857143,1,84
Aggregate,3283.48806369427,34044.168789808917,372.7388535031847134,314
Bitmap Heap Scan,1.2207777777777775,98.7777777777777778,326.8888888888888889,9
Nested Loop,257340.6773800738,31232.070110701107,2.1291512915129151,271
Index Scan,0.5050728155339806,975.1067961165048544,65014.558252427184,206
Sort,95177.46477631571,96772.872807017544,1.6842105263157895,228
Subquery Scan,2567.66405,96527.775,1.075,40
Gather,468.1929883720932,125885.860465116279,0.89534883720930232558,86
Merge Join,5861.890714285714,145133.357142857143,1.1428571428571429,14
WindowAgg,2229.5976923076923,52079.807692307692,0.96153846153846153846,26
Seq Scan,112.36628316831681,206330.592079207921,53.6396039603960396,505
Append,6106.222758620688,315578.689655172414,16.5172413793103448,29
Materialize,178.83400000000003,17812.25,162340,12
Index Only Scan,0.6303125,14.8125,454.4375,16
Bitmap Index Scan,0.39011111111111113,98.7777777777777778,326.8888888888888889,9
Gather Merge,1958.3355454545444,129516.693181818182,1,88
